               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,             0.05067,            0.043271,           0.0023284,             0.93038,             0.92924,              0.9524,             0.56703,            0.047467,            0.032953,           0.0016999,             0.00571,             0.00571,             0.00571
                  67,            0.052349,            0.050085,           0.0020907,             0.92201,             0.92741,             0.95657,             0.57219,             0.04804,             0.03233,           0.0017534,            0.005644,            0.005644,            0.005644
                  68,            0.050208,            0.044718,           0.0021177,             0.90579,             0.92399,             0.94323,             0.57185,            0.046782,            0.032627,           0.0016441,            0.005578,            0.005578,            0.005578
                  69,            0.049757,            0.045849,           0.0022634,             0.92383,              0.9478,              0.9649,              0.5849,            0.047379,            0.032958,           0.0015645,            0.005512,            0.005512,            0.005512
                  70,            0.050997,            0.044227,           0.0020668,             0.93799,              0.9391,             0.96234,             0.55457,            0.047267,            0.032391,           0.0015568,            0.005446,            0.005446,            0.005446
                  71,            0.051044,            0.044857,           0.0020385,             0.92674,             0.92854,             0.96192,              0.5849,            0.046346,            0.032357,           0.0015054,             0.00538,             0.00538,             0.00538
                  72,            0.050061,            0.042546,            0.001802,             0.95493,             0.91213,             0.95983,             0.58715,            0.045475,            0.032277,           0.0014395,            0.005314,            0.005314,            0.005314
                  73,            0.049101,             0.04159,           0.0019381,             0.96365,              0.9249,             0.97002,              0.5846,            0.045523,            0.031235,           0.0013824,            0.005248,            0.005248,            0.005248
                  74,            0.050152,            0.043673,           0.0020211,             0.93342,             0.93178,              0.9575,             0.58986,            0.045734,            0.032054,           0.0013989,            0.005182,            0.005182,            0.005182
                  75,            0.050249,            0.042824,           0.0019154,             0.95481,             0.93174,             0.96924,             0.59413,            0.047322,            0.031803,           0.0013515,            0.005116,            0.005116,            0.005116
                  76,            0.049894,             0.04347,           0.0018173,             0.94727,             0.94754,             0.96899,             0.59779,            0.046791,            0.031883,           0.0015198,             0.00505,             0.00505,             0.00505
                  77,            0.048793,            0.041203,            0.001764,             0.93288,             0.92654,             0.96212,              0.5971,            0.046595,            0.031497,           0.0015821,            0.004984,            0.004984,            0.004984
